test_id	gene_id	gene_name	event_type	event_components	chromosome	strand	left_anchor	right_anchor	n_tested_paths	tested_path_signatures	n_test_levels	statistic	empirical_p_value	fdr
ENSMUSG00000041607.18:B1	ENSMUSG00000041607.18	Mbp	whole-gene complex	multi-exon skipping	chr18	+	null	null	5	[[[82493272, 82493519], [82518851, 82518927], [82531107, 82532469]], [[82493286, 82493519], [82518851, 82518927], [82540174, 82540262], [82572444, 82572875], [82590949, 82591051], [82593296, 82593332], [82602236, 82603762]], [[82572637, 82572875], [82590949, 82591051], [82593296, 82593332], [82593659, 82593758], [82602236, 82603754]], [[82572704, 82572875], [82579902, 82579980], [82590949, 82591051], [82593296, 82593332], [82593659, 82593758], [82602236, 82602281]], [[82572704, 82572875], [82590949, 82591051], [82593296, 82593332], [82602236, 82602281]]]	11	101.2074688388966	0.001077943615257	0.0300453416923091
ENSMUSG00000042105.19:B1	ENSMUSG00000042105.19	Inpp5f	alternative first region	mutually exclusive exons	chr7	+	null	[128292350, 128292422]	3	[[[128213083, 128213415], [128237881, 128237962], [128260739, 128260876], [128265361, 128265490], [128265700, 128265868], [128265972, 128266029], [128269320, 128269519], [128270137, 128270317], [128271654, 128271722], [128277021, 128277146], [128278452, 128278530], [128279720, 128279841], [128281440, 128281569], [128283971, 128284089], [128286809, 128287008]], [[128289269, 128289331]], [[128290212, 128290970]]]	6	54.64607981488189	0.0001243781094527	0.0117598283094332
ENSMUSG00000042671.13:B1	ENSMUSG00000042671.13	Rgs8	alternative first region	mutually exclusive exons	chr1	+	null	[153541581, 153541662]	5	[[[153528770, 153529101]], [[153540361, 153540450]], [[153541057, 153541284]], [[153541418, 153541459]], [[153541454, 153541581]]]	4	33.18351464738657	0.0017827529021558	0.040165988929023
ENSMUSG00000044288.7:B1	ENSMUSG00000044288.7	Cnr1	alternative first region	mutually exclusive exons	chr4	+	null	[33943551, 33948819]	2	[[[33924631, 33925158]], [[33926201, 33926694]]]	5	24.501124865669222	0.0004975124378109	0.0207913764510779
ENSMUSG00000045095.17:B2	ENSMUSG00000045095.17	Magi1	cassette exon	cassette exon	chr6	-	[93737688, 93737746]	[93750587, 93750670]	2	[[], [[93746488, 93746524]]]	6	26.47260757579897	0.0004145936981757	0.0194094253650839
ENSMUSG00000045103.20:B4	ENSMUSG00000045103.20	Dmd	alternative last region	alternative donor; cassette exon	chrX	+	[84246076, 84246104]	null	3	[[], [[84246104, 84248645]], [[84246104, 84249747]]]	7	56.89021991631489	0.0001243781094527	0.0117598283094332
ENSMUSG00000045962.17:B1	ENSMUSG00000045962.17	Wnk1	whole-gene complex	mutually exclusive exons	chr6	-	null	null	4	[[[119939268, 119940694]], [[120013834, 120015616], [119979153, 119979326], [119969300, 119969521], [119967052, 119967210], [119949728, 119949817], [119947818, 119948038], [119946197, 119946531], [119945436, 119945624], [119939357, 119940593], [119937604, 119937685], [119933031, 119933157], [119929645, 119929930], [119928858, 119928956], [119928595, 119928758], [119927975, 119928092], [119927459, 119927633], [119927203, 119927261], [119926968, 119927091], [119924935, 119926380], [119923197, 119923281], [119921661, 119921745], [119920766, 119920827], [119916598, 119916663], [119914317, 119914979], [119913329, 119913532], [119911216, 119911411], [119904007, 119904195], [119900931, 119903648]], [[120013834, 120015616], [119979153, 119979326], [119969300, 119969521], [119967052, 119967210], [119949728, 119949817], [119947818, 119948038], [119946197, 119946531], [119945436, 119945624], [119942625, 119942883], [119939357, 119940593], [119937604, 119937685], [119933031, 119933157], [119928858, 119928956], [119928595, 119928758], [119927975, 119928092], [119927459, 119927633], [119927203, 119927261], [119926968, 119927091], [119924935, 119926380], [119923197, 119923281], [119921661, 119921745], [119920766, 119920827], [119916598, 119916663], [119914317, 119914979], [119913329, 119913532], [119911216, 119911411], [119904007, 119904195], [119900931, 119903648]], [[120013834, 120015633], [119979153, 119979326], [119969300, 119969521], [119967052, 119967210], [119949728, 119949817], [119947818, 119948038], [119946197, 119946531], [119945436, 119945624], [119937604, 119937685], [119933031, 119933157], [119930731, 119931193], [119929645, 119929930], [119928858, 119928956], [119928595, 119928758], [119927975, 119928092], [119927459, 119927633], [119927203, 119927261], [119926968, 119927091], [119924935, 119926380], [119923197, 119923281], [119921661, 119921745], [119920766, 119920827], [119916598, 119916663], [119914317, 119914979], [119913329, 119913532], [119911216, 119911411], [119904007, 119904195], [119900929, 119903648]]]	12	97.649733022492	0.001865671641791	0.0405237326879117
ENSMUSG00000046709.19:B1	ENSMUSG00000046709.19	Mapk10	alternative first region	alternative acceptor	chr5	-	[103144449, 103144579]	null	5	[[[103174583, 103174861]], [[103206186, 103206252], [103186384, 103186554]], [[103247822, 103247947], [103206186, 103206258], [103186384, 103186554]], [[103358755, 103359139], [103353691, 103353806], [103206186, 103206258], [103186384, 103186554]], [[103358755, 103359200], [103353691, 103353806], [103206186, 103206258], [103186384, 103186554]]]	9	135.57361291575216	0.0007462686567164	0.024314239612747
ENSMUSG00000046709.19:B2	ENSMUSG00000046709.19	Mapk10	alternative last region	mutually exclusive exons	chr5	-	null	[103137485, 103137651]	4	[[[103124220, 103124292], [103114311, 103114494], [103111332, 103111457], [103076088, 103076152], [103073937, 103074015], [103055815, 103061193]], [[103135068, 103135140], [103114311, 103114494], [103111332, 103111457], [103076088, 103076152], [103073937, 103074015], [103055815, 103061193]], [[103135068, 103135140], [103114311, 103114494], [103111332, 103111457], [103076088, 103076152], [103073937, 103074015], [103068143, 103069003]], [[103135739, 103137485]]]	9	82.08567633324128	0.0015339966832504	0.0368006567494203
ENSMUSG00000047454.13:B1	ENSMUSG00000047454.13	Gphn	alternative first region	cassette exon	chr12	+	null	[78273426, 78273615]	2	[[], [[78273152, 78273426]]]	5	22.17817857742375	0.0007462686567164	0.024314239612747
ENSMUSG00000048271.15:B1	ENSMUSG00000048271.15	Rbm33	alternative first region	cassette exon	chr5	+	null	[28522199, 28522408]	2	[[], [[28522174, 28522199]]]	9	35.13487358592465	0.0002487562189054	0.0139477033437463
ENSMUSG00000049550.18:B1	ENSMUSG00000049550.18	Clip1	alternative first region	multi-exon skipping	chr5	-	[123793956, 123794081]	null	2	[[], [[123822314, 123822388], [123794081, 123794149]]]	10	38.18675833630186	0.0003731343283582	0.0194094253650839
ENSMUSG00000053395.16:B1	ENSMUSG00000053395.16	Cacng8	alternative first region	multi-exon skipping	chr7	+	null	[3442632, 3443020]	2	[[], [[3439198, 3439486], [3439770, 3439881], [3442557, 3442632]]]	8	26.62638921905273	0.0009535655058043	0.0276993546324601
ENSMUSG00000054423.15:B1	ENSMUSG00000054423.15	Cadps	alternative first region	cassette exon	chr14	+	null	[9646717, 9647459]	2	[[], [[9646683, 9646717]]]	9	25.904586766000648	0.0012437810945273	0.0324189861503294
ENSMUSG00000054942.14:B1	ENSMUSG00000054942.14	Miga1	alternative first region	alternative acceptor; cassette exon	chr3	-	[152045888, 152046010]	null	3	[[], [[152046010, 152046042]], [[152046010, 152046044]]]	6	41.44498622526498	0.0002487562189054	0.0139477033437463
ENSMUSG00000055013.17:B1	ENSMUSG00000055013.17	Agap1	alternative first region	mutually exclusive exons	chr1	+	null	[89532319, 89532378]	2	[[[89382527, 89383314]], [[89507957, 89509375]]]	8	29.641232509680776	0.0004975124378109	0.0207913764510779
ENSMUSG00000055254.16:B1	ENSMUSG00000055254.16	Ntrk2	alternative first region	cassette exon; multi-exon skipping	chr13	+	null	[58956504, 58956754]	3	[[], [[58955510, 58955827], [58956198, 58956504]], [[58956094, 58956504]]]	13	515.4601182605256	0.0001243781094527	0.0117598283094332
ENSMUSG00000055254.16:B2	ENSMUSG00000055254.16	Ntrk2	alternative last region	alternative acceptor; mutually exclusive exons	chr13	+	[59025976, 59026076]	null	4	[[[59035005, 59036293]], [[59035084, 59036293]], [[59079836, 59084841]], [[59133615, 59133804], [59185780, 59185911], [59202106, 59202279], [59208041, 59208276], [59274246, 59274405], [59275981, 59281784]]]	13	614.8083717160844	0.0001243781094527	0.0117598283094332
ENSMUSG00000055932.16:B1	ENSMUSG00000055932.16	Fto	alternative first region	alternative acceptor	chr8	+	null	[92040195, 92040248]	3	[[[92040152, 92040195]], [[92040162, 92040195]], [[92040185, 92040195]]]	7	73.82505267975466	0.0002072968490878	0.0135079108959705
ENSMUSG00000056004.17:B1	ENSMUSG00000056004.17	Elapor2	alternative first region	cassette exon	chr5	+	null	[9316148, 9316456]	2	[[], [[9316131, 9316148]]]	5	27.401911168718016	0.000290215588723	0.0155491063202505
ENSMUSG00000056004.17:B2	ENSMUSG00000056004.17	Elapor2	alternative last region		chr5	+	[9460583, 9460731]	null	3	[[[9467984, 9468071], [9470616, 9470722], [9471504, 9471657], [9472301, 9472390], [9477689, 9477870], [9478404, 9478533], [9484620, 9484711], [9485326, 9485429], [9487705, 9487843], [9490719, 9490983], [9491633, 9491807], [9495363, 9495553], [9496893, 9496990], [9497719, 9497821], [9509179, 9509306], [9511321, 9511500], [9512868, 9513034], [9529195, 9530717]], [[9467984, 9468071], [9470616, 9470722], [9471504, 9471657], [9472301, 9472390], [9477689, 9477870], [9478404, 9478533], [9484620, 9484711], [9485326, 9485429], [9487705, 9487843], [9490719, 9490983], [9491633, 9491807], [9495363, 9495553], [9496893, 9496990], [9497719, 9497821], [9509179, 9509306], [9511321, 9511500], [9512868, 9513983]], [[9529195, 9531825]]]	5	40.74182784227901	0.0001243781094527	0.0117598283094332
ENSMUSG00000056211.14:B1	ENSMUSG00000056211.14	R3hdm1	alternative last region		chr1	+	[128114494, 128114646]	null	2	[[[128114646, 128116593]], [[128118374, 128118476], [128121196, 128121493], [128124710, 128124834], [128138941, 128139096], [128144137, 128144289], [128149336, 128149440], [128151205, 128151378], [128159059, 128159204], [128162802, 128162885], [128163278, 128163363], [128164133, 128165473]]]	11	44.79950089287741	0.0002072968490878	0.0135079108959705
ENSMUSG00000056476.14:B2	ENSMUSG00000056476.14	Med12l	cassette exon	cassette exon	chr3	+	[58944980, 58945172]	[58949674, 58949834]	2	[[], [[58946586, 58946619]]]	5	19.607512689947725	0.0012852404643449	0.0333195135433941
ENSMUSG00000056602.14:B1	ENSMUSG00000056602.14	Fry	alternative first region	mutually exclusive exons	chr5	+	null	[150233734, 150233934]	2	[[[150183231, 150183803]], [[150218852, 150219149]]]	10	43.8910750632308	0.000290215588723	0.0155491063202505
ENSMUSG00000056820.8:B1	ENSMUSG00000056820.8	Tsnax	alternative first region	cassette exon	chr8	+	null	[125739787, 125739951]	2	[[], [[125739735, 125739787]]]	6	20.18106394475126	0.0020729684908789	0.0429006612146705
ENSMUSG00000058254.13:B1	ENSMUSG00000058254.13	Tspan7	cassette exon	cassette exon	chrX	+	[10456374, 10456458]	[10461517, 10461593]	2	[[], [[10456458, 10461517]]]	6	93.70846653765784	0.0001243781094527	0.0117598283094332
ENSMUSG00000058589.15:B1	ENSMUSG00000058589.15	Anks1b	whole-gene complex		chr10	+	null	null	9	[[[89709533, 89709667], [89869075, 89869156], [89878407, 89878564], [89885677, 89885974], [89905329, 89905405], [89906929, 89907031], [89909840, 89909954], [89912837, 89913004], [89999022, 89999166], [90096514, 90096680], [90143430, 90143567], [90194896, 90195077], [90346457, 90347044], [90348676, 90348749], [90412950, 90413057], [90480319, 90480418], [90516628, 90516781], [90519535, 90519559]], [[90412378, 90413057], [90480319, 90480418], [90516628, 90516781], [90730960, 90731068], [90733108, 90733288], [90750557, 90750629], [90757157, 90757286], [90759392, 90759464], [90776425, 90776437], [90777287, 90777374], [90784396, 90784534], [90802086, 90802254], [90805665, 90807321]], [[90412552, 90413057], [90480319, 90480418], [90516628, 90516781], [90730960, 90731068], [90750554, 90750629], [90757157, 90757286], [90759392, 90759464], [90776425, 90776437], [90777287, 90777374], [90784396, 90784534], [90802086, 90802254], [90805665, 90806726]], [[90412611, 90413057], [90422913, 90423011]], [[90412627, 90412691], [90412950, 90413057], [90422913, 90423158]], [[90412853, 90413057], [90480319, 90480418], [90516628, 90516781], [90730960, 90731068], [90733108, 90733288], [90757157, 90757286], [90759392, 90759464], [90776425, 90776437], [90777287, 90777374], [90784396, 90784534], [90802086, 90802254], [90805649, 90805682]], [[90665427, 90665542], [90730960, 90731068], [90733108, 90733288], [90757157, 90757286], [90759392, 90759464], [90776425, 90776437], [90777287, 90777374], [90784396, 90784534], [90802086, 90802254], [90805665, 90807319]], [[90665642, 90665959], [90730960, 90731068], [90733108, 90733288], [90757157, 90757286], [90759392, 90759464], [90776425, 90776437], [90777287, 90777374], [90784396, 90784534], [90802086, 90802254], [90805665, 90807146]], [[90730959, 90731068], [90733108, 90733288], [90757157, 90757286], [90759392, 90759464], [90776425, 90776437], [90777287, 90777374], [90784396, 90784534], [90802086, 90802254], [90805665, 90807319]]]	11	300.80442117249186	0.0001243781094527	0.0117598283094332
ENSMUSG00000058756.14:B1	ENSMUSG00000058756.14	Thra	alternative first region	cassette exon	chr11	+	null	[98632698, 98632832]	2	[[], [[98632636, 98632698]]]	10	144.77040761294847	0.0001243781094527	0.0117598283094332
ENSMUSG00000058975.8:B1	ENSMUSG00000058975.8	Kcnc1	alternative first region	cassette exon	chr7	+	null	[46047071, 46047671]	2	[[], [[46045920, 46047071]]]	8	31.7635298621899	0.0001243781094527	0.0117598283094332
ENSMUSG00000060657.9:B1	ENSMUSG00000060657.9	Marf1	alternative first region		chr16	-	[13971695, 13971895]	null	2	[[[13977007, 13977131]], [[13981084, 13981215], [13977537, 13977726]]]	7	41.794979731405874	0.0002487562189054	0.0139477033437463
ENSMUSG00000060961.17:B1	ENSMUSG00000060961.17	Slc4a4	alternative first region	alternative acceptor	chr5	+	null	[89176151, 89176287]	3	[[[89035155, 89035183], [89082607, 89082681], [89102636, 89102816]], [[89175824, 89176151]], [[89175935, 89176151]]]	5	39.89077661698138	0.0001243781094527	0.0117598283094332
ENSMUSG00000061080.12:B1	ENSMUSG00000061080.12	Lsamp	alternative first region	alternative acceptor	chr16	+	null	[41353814, 41353893]	2	[[[41353219, 41353814]], [[41353398, 41353814]]]	9	56.35360997240423	0.0001243781094527	0.0117598283094332
ENSMUSG00000061286.8:B1	ENSMUSG00000061286.8	Exosc5	alternative first region	cassette exon	chr7	+	null	[25358615, 25358808]	2	[[], [[25358588, 25358615]]]	3	12.737891988564344	0.0016998341625207	0.0390314301508331
ENSMUSG00000061576.16:B1	ENSMUSG00000061576.16	Dpp6	alternative first region	mutually exclusive exons	chr5	+	null	[27587752, 27587867]	4	[[[27022354, 27023116]], [[27109692, 27110286]], [[27254196, 27254811]], [[27466972, 27467359]]]	9	208.8061835194967	0.0004145936981757	0.0194094253650839
ENSMUSG00000061601.16:B1	ENSMUSG00000061601.16	Pclo	alternative last region		chr5	+	[14843845, 14844040]	null	2	[[[14844040, 14846007]], [[14861623, 14861765], [14867280, 14867348], [14905556, 14905691], [14906917, 14907063], [14908759, 14913473]]]	13	87.27836628162186	0.0001243781094527	0.0117598283094332
ENSMUSG00000061603.9:B1	ENSMUSG00000061603.9	Akap6	alternative first region	mutually exclusive exons	chr12	+	null	[52842619, 52842983]	2	[[[52746165, 52746225]], [[52842618, 52842619]]]	11	34.83955757536751	0.0007877280265339	0.0251551294301121
ENSMUSG00000061689.16:B1	ENSMUSG00000061689.16	Dlgap4	alternative first region	alternative acceptor; mutually exclusive exons	chr2	+	null	[156587754, 156588116]	4	[[[156542541, 156543594], [156546329, 156546574], [156547775, 156547890], [156548997, 156549048], [156552940, 156553181]], [[156562964, 156563007]], [[156562989, 156563007]], [[156563411, 156564022]]]	11	81.28503036755137	0.0016998341625207	0.0390314301508331
ENSMUSG00000061751.17:B1	ENSMUSG00000061751.17	Kalrn	whole-gene complex		chr16	-	null	null	5	[[[33916165, 33916398], [33875201, 33875485], [33873929, 33874034], [33860248, 33860379], [33855862, 33855929], [33855422, 33855526], [33855205, 33855275], [33854825, 33854912], [33853876, 33853969], [33852787, 33852838], [33851923, 33852001], [33849009, 33849195], [33848307, 33848479], [33836761, 33837000], [33834327, 33834584], [33833515, 33834051]], [[33983436, 33983649], [33936591, 33936835], [33875201, 33875485], [33873929, 33874034], [33860248, 33860379], [33855862, 33855929], [33855422, 33855526], [33855205, 33855275], [33854825, 33854912], [33853876, 33853969], [33852787, 33852838], [33851923, 33852001], [33849009, 33849195], [33848307, 33848479], [33836761, 33837000], [33833501, 33834584]], [[34082997, 34083209], [34076560, 34076730], [34072594, 34072769], [34064140, 34064336], [34055614, 34055781], [34047396, 34047516], [34040425, 34040644], [34038165, 34038315], [34035384, 34035499], [34033160, 34033276], [34032527, 34032650], [34025517, 34025700], [34024230, 34024349], [34019554, 34019621], [34018762, 34018872], [34010037, 34010107], [34007784, 34007874], [34003027, 34003120], [33998350, 33998777]], [[34277250, 34277287], [34212404, 34212479], [34205654, 34205769], [34181186, 34181379], [34177254, 34177767], [34152493, 34152616], [34134538, 34134730], [34130805, 34130937], [34127978, 34128209], [34114487, 34114610], [34082997, 34083189], [34076521, 34076730], [34072594, 34072769], [34064140, 34064336], [34055614, 34055781], [34047396, 34047516], [34040425, 34040617], [34038165, 34038315], [34035384, 34035499], [34033160, 34033276], [34032527, 34032650], [34025517, 34025700], [34024230, 34024349], [34019554, 34019621], [34018762, 34018872], [34010037, 34010107], [34007784, 34007874], [34003027, 34003120], [33998665, 33998777], [33996636, 33996827], [33996098, 33996200], [33994754, 33994897], [33991641, 33991744], [33936591, 33936835], [33875201, 33875485], [33873929, 33874034], [33870199, 33870292], [33860248, 33860379], [33855862, 33855929], [33855422, 33855526], [33855205, 33855275], [33854825, 33854912], [33853876, 33853969], [33852787, 33852838], [33851923, 33852001], [33849009, 33849195], [33848307, 33848479], [33836761, 33837000], [33834327, 33834584], [33830891, 33831015], [33829639, 33829699], [33814005, 33814033], [33813228, 33813400], [33810137, 33810259], [33809139, 33809271], [33807455, 33807620], [33805544, 33805623], [33803057, 33803258], [33797895, 33798034], [33795864, 33796449]], [[34334283, 34334456], [34212404, 34212479], [34205654, 34205769], [34181186, 34181379], [34177254, 34177767], [34152493, 34152616], [34134538, 34134730], [34130805, 34130937], [34127978, 34128209], [34114487, 34114610], [34082997, 34083189], [34076521, 34076730], [34072594, 34072769], [34064140, 34064336], [34055614, 34055781], [34047396, 34047516], [34040425, 34040644], [34038165, 34038315], [34035384, 34035499], [34033160, 34033276], [34032527, 34032650], [34025517, 34025700], [34024230, 34024349], [34019554, 34019621], [34018762, 34018872], [34010037, 34010107], [34007784, 34007874], [34003027, 34003120], [33998665, 33998777], [33996636, 33996827], [33996098, 33996200], [33994754, 33994897], [33991641, 33991744], [33972404, 33973875]]]	11	540.9080805482372	0.0002072968490878	0.0135079108959705
ENSMUSG00000062078.16:B1	ENSMUSG00000062078.16	Qki	alternative first region	cassette exon	chr17	-	[10537660, 10538290]	null	2	[[], [[10538290, 10538309]]]	9	30.631755967089703	0.0004145936981757	0.0194094253650839
ENSMUSG00000062078.16:B2	ENSMUSG00000062078.16	Qki	compound internal	alternative acceptor; cassette exon	chr17	-	[10432287, 10432362]	[10435088, 10435388]	3	[[], [[10432362, 10433123]], [[10432362, 10434403]]]	9	128.74265156301772	0.0007877280265339	0.0251551294301121
ENSMUSG00000062098.12:B1	ENSMUSG00000062098.12	Btbd3	alternative first region	mutually exclusive exons	chr2	+	null	[138120885, 138121177]	2	[[[138098484, 138098674]], [[138120412, 138120885]]]	6	21.987080901561058	0.0008706467661691	0.0259151772004176
ENSMUSG00000062151.14:B1	ENSMUSG00000062151.14	Unc13c	alternative first region	multi-exon skipping	chr9	-	[73837878, 73840849]	null	2	[[], [[73875775, 73876248], [73840849, 73841091]]]	6	20.90667283545553	0.0019071310116086	0.0412385010671604
ENSMUSG00000063077.16:B1	ENSMUSG00000063077.16	Kif1b	alternative first region	alternative acceptor; cassette exon	chr4	-	[149391885, 149391963]	null	3	[[], [[149391963, 149392080]], [[149391963, 149392149]]]	13	141.26413202365802	0.0007462686567164	0.024314239612747
ENSMUSG00000063358.18:B2	ENSMUSG00000063358.18	Mapk1	alternative last region	mutually exclusive exons	chr16	+	[16856177, 16856298]	null	3	[[[16856298, 16856303], [16861549, 16865317]], [[16856298, 16856904]], [[16861549, 16862613]]]	7	46.66330437287979	0.0002072968490878	0.0135079108959705
ENSMUSG00000063659.12:B1	ENSMUSG00000063659.12	Zbtb18	alternative first region	mutually exclusive exons	chr1	+	null	[177274654, 177275342]	3	[[[177271860, 177272388]], [[177272503, 177272621]], [[177273386, 177274654]]]	7	32.45906515422212	0.0015339966832504	0.0368006567494203
ENSMUSG00000063659.12:B3	ENSMUSG00000063659.12	Zbtb18	alternative last region	cassette exon	chr1	+	[177275454, 177278326]	null	2	[[], [[177278326, 177278330]]]	7	29.44834906489405	0.0007462686567164	0.024314239612747
ENSMUSG00000065954.12:B1	ENSMUSG00000065954.12	Tacc1	alternative first region	cassette exon	chr8	-	[25691137, 25691465]	null	2	[[], [[25691465, 25691558]]]	10	48.23960915835414	0.0002487562189054	0.0139477033437463
ENSMUSG00000069601.15:B1	ENSMUSG00000069601.15	Ank3	whole-gene complex	cassette exon; multi-exon skipping; mutually exclusive exons	chr10	+	null	null	9	[[[69370051, 69370114], [69644245, 69644347], [69644702, 69644801], [69645000, 69645099], [69651524, 69651623], [69658037, 69658223], [69660147, 69660246], [69685935, 69686034], [69703214, 69703313], [69706831, 69707029], [69710619, 69710718], [69713659, 69713758], [69715722, 69715821], [69718190, 69718388], [69720576, 69720675], [69720968, 69721067], [69728151, 69728349], [69729274, 69729373], [69733870, 69733969], [69734057, 69734156], [69734823, 69734919], [69740027, 69740100], [69740277, 69740340], [69756267, 69756321], [69763524, 69763648], [69768223, 69768326], [69786781, 69786888], [69791755, 69791980], [69794747, 69794902], [69809551, 69809763], [69811877, 69812085], [69813542, 69813639], [69814300, 69814529], [69815147, 69815273], [69816101, 69816224], [69817945, 69818027], [69830201, 69830276], [69833924, 69834056], [69835184, 69835328], [69837752, 69838431], [69840439, 69840821], [69851397, 69851463]], [[69370051, 69370114], [69644245, 69644347], [69644702, 69644801], [69645000, 69645099], [69651524, 69651623], [69658037, 69658223], [69660147, 69660246], [69685935, 69686034], [69703214, 69703313], [69706831, 69707029], [69710619, 69710718], [69713659, 69713758], [69715722, 69715821], [69718190, 69718388], [69720576, 69720675], [69720968, 69721067], [69728151, 69728349], [69729274, 69729373], [69733870, 69733969], [69734057, 69734156], [69734823, 69734919], [69740027, 69740100], [69740277, 69740340], [69763524, 69763648], [69768223, 69768326], [69786781, 69786888], [69791755, 69791980], [69794747, 69794902], [69809551, 69809763], [69811877, 69812085], [69813542, 69813639], [69814300, 69814529], [69815147, 69815273], [69816101, 69816224], [69817945, 69818027], [69830201, 69830276], [69833924, 69834056], [69835184, 69835328], [69837752, 69838431], [69840439, 69840821], [69851397, 69851463]], [[69370051, 69370114], [69644245, 69644347], [69644702, 69644801], [69645000, 69645099], [69651524, 69651623], [69658037, 69658223], [69660147, 69660246], [69685935, 69686034], [69703214, 69703313], [69706831, 69707029], [69710619, 69710718], [69713659, 69713758], [69715722, 69715821], [69718190, 69718388], [69720576, 69720675], [69720968, 69721067], [69728151, 69728349], [69729274, 69729373], [69733870, 69733969], [69734057, 69734156], [69734823, 69734919], [69740027, 69740100], [69756267, 69756321], [69763524, 69763648], [69768223, 69768326], [69786781, 69786888], [69791755, 69791980], [69794747, 69794902], [69809551, 69809763], [69811877, 69812085], [69813542, 69813639], [69814300, 69814529], [69815147, 69815273], [69816101, 69816224], [69817945, 69818027], [69830201, 69830276], [69833924, 69834056], [69835184, 69835328], [69837752, 69838431], [69840439, 69840821], [69851397, 69851463]], [[69370051, 69370114], [69644245, 69644347], [69644702, 69644801], [69645000, 69645099], [69651524, 69651623], [69658037, 69658223], [69660147, 69660246], [69685935, 69686034], [69703214, 69703313], [69706831, 69707029], [69710619, 69710718], [69713659, 69713758], [69715722, 69715821], [69718190, 69718388], [69720576, 69720675], [69720968, 69721067], [69728151, 69728349], [69729274, 69729373], [69733870, 69733969], [69734057, 69734156], [69734823, 69734919], [69740027, 69740100], [69763524, 69763648], [69768223, 69768326], [69786781, 69786888], [69791755, 69791980], [69794747, 69794902], [69809551, 69809763], [69811877, 69812085], [69813542, 69813639], [69814300, 69814529], [69815147, 69815273], [69816101, 69816224], [69817945, 69818027], [69830201, 69830276], [69833924, 69834056], [69835184, 69835328], [69837752, 69838431], [69840439, 69840821], [69851397, 69851463]], [[69370051, 69370114], [69786781, 69786888], [69791755, 69791980], [69794747, 69794902], [69809551, 69809763], [69811877, 69812085], [69813542, 69813639], [69814300, 69814529], [69815147, 69815273], [69816101, 69816224], [69817945, 69818027], [69830201, 69830276], [69833924, 69834056], [69835184, 69835328], [69838340, 69838431], [69840439, 69840821], [69851397, 69851463]], [[69621354, 69621502], [69644245, 69644347], [69644702, 69644801], [69645000, 69645099], [69651524, 69651623], [69658037, 69658223], [69660147, 69660246], [69685935, 69686034], [69694049, 69694351]], [[69761361, 69762021], [69763524, 69763648], [69768223, 69768326], [69786781, 69786888], [69791755, 69791980], [69794747, 69794902], [69809551, 69809763], [69811877, 69812085], [69813542, 69813639], [69814300, 69814529], [69815147, 69815273], [69816101, 69816224], [69817945, 69818027], [69830201, 69830276], [69833924, 69834056], [69835184, 69835328], [69837752, 69838431], [69840439, 69840821], [69851397, 69851483], [69859661, 69860784]], [[69761634, 69762021], [69763524, 69763648], [69768223, 69768326], [69786781, 69786888], [69791755, 69791980], [69794747, 69794902], [69809551, 69809763], [69811877, 69812085], [69813542, 69813639], [69814300, 69814529], [69815147, 69815273], [69816101, 69816224], [69817945, 69818027], [69830201, 69830276], [69833924, 69834056], [69835184, 69835328], [69837752, 69838431], [69840439, 69840821], [69851400, 69851635]], [[69761783, 69762021], [69763524, 69763648], [69768223, 69768326], [69786781, 69786888], [69791755, 69791980], [69794747, 69794902], [69809551, 69809763], [69811877, 69812085], [69813542, 69813639], [69814300, 69814529], [69815147, 69815273], [69816101, 69816224], [69817945, 69818027], [69830201, 69830276], [69833924, 69834056], [69835184, 69835328], [69838340, 69838431], [69840439, 69840821], [69851397, 69851483], [69859661, 69860473]]]	11	133.04184989495116	0.0004145936981757	0.0194094253650839
ENSMUSG00000070880.11:B1	ENSMUSG00000070880.11	Gad1	alternative first region	mutually exclusive exons	chr2	+	null	[70394111, 70394254]	3	[[[70392385, 70392676]], [[70392539, 70392680]], [[70393242, 70393546]]]	5	32.52281808215639	0.0002487562189054	0.0139477033437463
ENSMUSG00000071753.14:B1	ENSMUSG00000071753.14	Cdr1os	whole-gene complex		chrX	+	null	null	4	[[[60159983, 60160030], [60161819, 60161853], [60162192, 60162297], [60162947, 60163030], [60165617, 60165765], [60176971, 60177109], [60178326, 60178402], [60216590, 60216648], [60218733, 60219929]], [[60159991, 60160030], [60161819, 60161853], [60162192, 60162297], [60162947, 60163030], [60178326, 60178402], [60226853, 60229780], [60247301, 60247391]], [[60160003, 60160064], [60162192, 60162297], [60162947, 60163030], [60165617, 60165765], [60176971, 60177109], [60178318, 60178402], [60218733, 60219597]], [[60225155, 60225205], [60226853, 60227280]]]	9	102.99163188071545	0.0014925373134328	0.0361659041476036
ENSMUSG00000072294.6:B1	ENSMUSG00000072294.6	Klf12	alternative first region	multi-exon skipping	chr14	-	[100387167, 100387200]	null	2	[[], [[100521966, 100522115], [100387200, 100387231]]]	4	22.889402378163368	0.0006218905472636	0.0212677746021664
ENSMUSG00000074657.6:B1	ENSMUSG00000074657.6	Kif5a	alternative first region	cassette exon	chr10	-	[127098636, 127098949]	null	2	[[], [[127098949, 127099217]]]	13	93.69995826052036	0.0001243781094527	0.0117598283094332
